State,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,y,x
Alabama,86.92440221,11.02228753,45.17721843,61.19365288,57.32735224,72.02753633,-86.766233,33.001471
Alaska,26.60597881,4.194574803,66.47693122,77.37814056,30.87186344,70.14311641,-148.716968,61.288254
Arizona,73.24171004,30.97837864,0.790018089,39.08074624,14.28512149,77.21494711,-111.828711,33.373506
Arkansas,11.59998865,94.81940646,65.28227049,73.40531742,46.7699855,49.19976484,-92.576816,35.080251
California,74.32098786,74.60443186,78.05747703,19.84372603,23.89428306,55.3368717,-119.355165,35.458606
Colorado,5.371202994,97.00556119,91.24802737,21.63770518,9.180387691,94.95693578,-105.203628,39.500656
Connecticut,66.48033863,89.48958274,1.943461598,33.60792347,26.33346216,71.45375883,-72.874365,41.494852
Delaware,55.18300318,41.11971344,21.74050029,77.29629449,20.2734905,89.8392994,-75.561908,39.397164
District of Columbia,25.60292685,30.63484839,33.91609373,85.71100497,79.04664783,38.2822754,-77.014001,38.910092
Florida,82.4262595,21.31428928,6.707102671,12.08451436,28.86078895,98.5078911,-81.634622,27.79585
Georgia,47.13597647,69.84107294,96.25536702,83.47134061,27.50281722,18.94937381,-83.868887,33.332208
Hawaii,15.48335898,39.71467244,96.94295918,0.079975522,69.61994092,35.22690069,-157.524452,21.146768
Idaho,5.883478793,18.19335229,30.06014956,84.69644381,10.05543636,31.76591513,-115.133222,44.242605
Illinois,32.7428169,82.47802584,14.65366494,72.30079986,96.53258578,61.50762924,-88.380238,41.278216
Indiana,24.24531581,18.1883793,71.81912181,81.89990511,55.21512747,32.12283064,-86.261515,40.163935
Iowa,26.51903406,71.93789088,2.205364442,96.80943096,64.72470951,12.53543322,-93.049161,41.960392
Kansas,53.56065279,43.74105692,88.46332633,84.92667484,76.07998057,45.93777782,-96.536052,38.454303
Kentucky,58.22366694,92.406634,7.034079704,90.83348874,7.620874676,52.34017116,-85.241819,37.808159
Louisiana,18.77202392,97.59815377,38.85275607,68.1488491,27.38021526,70.01818048,-91.457133,30.69927
Maine,61.90130305,23.45466663,13.69475145,31.24395078,30.51662812,54.35240331,-69.719931,44.313614
Maryland,86.38080161,61.40703717,27.0092074,41.37609039,54.60548025,61.86354391,-76.797396,39.145653
Massachusetts,9.651407311,93.72277848,93.46000442,38.71699014,77.49842334,65.41144431,-71.363628,42.271831
Michigan,99.55168852,77.58623117,89.0301763,38.22794833,4.261824804,20.32916428,-84.170753,42.866412
Minnesota,93.30489945,40.1760872,40.48535248,69.03269336,99.12327754,17.87105825,-93.583003,45.210782
Mississippi,81.8160756,96.73510466,15.59324683,80.20841115,60.67461287,69.12521629,-89.593164,32.56642
Missouri,91.34222968,10.03991553,48.70608564,39.74862967,52.13424855,21.24653817,-92.15377,38.437715
Montana,9.185980131,3.449994426,45.26199916,45.22497284,80.57596874,26.01374215,-111.209708,46.813302
Nebraska,26.24882047,4.81142239,16.71380594,27.79752109,87.11079878,51.59582416,-97.403875,41.183753
Nevada,76.04704392,7.171585372,80.31111201,24.96815397,7.461927554,37.17565052,-116.304648,37.165965
New Hampshire,79.58437432,13.51918543,66.57295349,0.146576705,89.89411335,45.48960665,-71.463342,43.153046
New Jersey,20.26485012,8.427595658,60.6360889,49.11624859,9.359510286,77.52241332,-74.428055,40.438458
New Mexico,99.39463767,12.36894714,19.95964378,56.99472336,97.72604635,81.67768308,-106.342108,34.623012
New York,48.05183636,77.57478055,1.63817792,55.57969573,1.213457409,0.68875835,-74.645228,41.507548
North Carolina,37.48218634,72.56060528,88.35297342,8.616117462,37.52839766,74.91488186,-79.667654,35.553334
North Dakota,84.89947847,96.06299326,71.52679764,99.73660969,70.15926022,27.36066814,-99.334736,47.375168
Ohio,37.7314628,27.76643908,45.91445272,54.34107315,64.99056338,94.5009177,-82.749366,40.480854
Oklahoma,2.57324075,82.97731754,35.52631485,55.99466497,24.1670632,69.94408625,-96.834653,35.59794
Oregon,99.75491241,67.51316671,66.92880087,92.64745142,51.02463299,31.4743197,-122.579524,44.732273
Pennsylvania,14.3713346,56.17931328,17.65189701,19.47121432,4.653726586,88.85404452,-77.075925,40.463528
Rhode Island,24.22352262,10.12221987,33.52403592,54.04944715,97.43198142,92.51873908,-71.448902,41.753318
South Carolina,76.98182001,53.14286542,44.95681964,90.75541161,39.52614808,9.778246579,-81.032387,34.034551
South Dakota,56.44778585,78.20051104,92.50294576,6.449213373,47.03296042,93.58827499,-99.043799,44.047502
Tennessee,96.10324931,53.68472856,75.18512159,26.15812235,7.943957357,64.27059504,-86.397772,35.795862
Texas,12.81617631,54.82365295,59.2441778,82.01144704,84.78314508,1.225433617,-97.388631,30.943149
Utah,93.31421927,35.55618728,75.39112281,52.95671031,59.69139657,7.740303057,-111.90016,40.438987
Vermont,45.61413946,1.745829147,5.419630268,59.94006974,65.17162535,15.64729112,-72.814309,44.081127
Virginia,27.91553363,88.84006785,9.993839234,43.46724146,11.72186537,65.6469617,-77.835857,37.750345
Washington,59.3172102,4.197731361,14.48101603,45.57317256,16.87833918,19.94120496,-121.624501,47.341728
West Virginia,99.22032807,49.31456093,56.96329941,35.5453852,48.21723676,84.47897273,-80.820221,38.767195
Wisconsin,71.03118665,41.2977608,57.72475509,32.30101588,29.0934781,55.86606422,-89.001006,43.728544
Wyoming,28.27218311,16.03381066,66.46905573,20.90916633,3.69138688,6.888016753,-107.008835,42.675762
Puerto Rico,31.1743634,50.12963282,40.37466155,66.02843254,85.99618877,32.7918591,-66.58765,18.19958
